lpa_name,year_month,median_decision_time,approval_rate,decision_volume,p90_volume,shock_flag,shock_intensity,baseline_mdt,baseline_ar,impact_mdt,impact_ar,shock_month,impact_mdt_norm,impact_ar_norm,resilience_index
Barnet,2019-01-01,49.0,0.8103448275862069,174,660.0,0,0.2636363636363636,55.0,0.6579439556858913,-6.0,-0.1524008719003156,False,-0.30607351237987396,-1.6945692364691338,1.0003213744245039
Barnet,2019-02-01,35.0,0.6313868613138686,274,660.0,0,0.41515151515151516,55.0,0.6579439556858913,-20.0,0.026557094372022694,False,-0.9255509424921907,0.21420508899363847,0.35567292674927614
Barnet,2019-03-01,42.0,0.5895652173913043,575,660.0,0,0.8712121212121212,55.0,0.6579439556858913,-13.0,0.06837873829458696,False,-0.6158122274360324,0.6602767662195321,-0.02223226939174988
Barnet,2019-04-01,42.0,0.5972850678733032,663,660.0,1,1.0045454545454546,55.0,0.6579439556858913,-13.0,0.0606588878125881,True,-0.6158122274360324,0.5779364675260031,0.018937879955014614
Barnet,2019-05-01,53.0,0.6274509803921569,612,660.0,0,0.9272727272727272,55.0,0.6579439556858913,-2.0,0.030492975293734403,False,-0.12907996091921206,0.25618538530528306,-0.0635527121930355
Barnet,2019-06-01,53.0,0.6586206896551724,580,660.0,0,0.8787878787878788,55.0,0.6579439556858913,-2.0,-0.0006767339692811403,False,-0.12907996091921206,-0.07627224154795395,0.102676101233583
Barnet,2019-07-01,51.0,0.6505295007564297,661,660.0,1,1.0015151515151515,55.0,0.6579439556858913,-4.0,0.007414454929461578,True,-0.21757673664954302,0.010028770662290062,0.10377398299362647
Barnet,2019-08-01,48.0,0.5565217391304348,575,660.0,0,0.8712121212121212,55.0,0.6579439556858913,-7.0,0.10142221655545647,False,-0.35032190024503945,1.0127201038486107,-0.3311991018017856
Barnet,2019-09-01,49.0,0.6222596964586846,593,660.0,0,0.8984848484848484,55.0,0.6579439556858913,-6.0,0.03568425922720664,False,-0.30607351237987396,0.3115558708712606,-0.0027411792456933093
Barnet,2019-10-01,51.0,0.6300884955752213,565,660.0,0,0.8560606060606061,55.0,0.6579439556858913,-4.0,0.027855460110669972,False,-0.21757673664954302,0.22805352077129387,-0.005238392060875424
Barnet,2019-11-01,51.0,0.6486486486486487,555,660.0,0,0.8409090909090909,55.0,0.6579439556858913,-4.0,0.009295307037242573,False,-0.21757673664954302,0.030090030231263106,0.09374335320913996
Barnet,2019-12-01,52.0,0.6160714285714286,560,660.0,0,0.8484848484848485,55.0,0.6579439556858913,-3.0,0.041872527114462654,False,-0.17332834878437753,0.3775602355180096,-0.10211594336681604
Barnet,2020-01-01,54.0,0.6172839506172839,567,660.0,0,0.8590909090909091,55.0,0.6579439556858913,-1.0,0.04066000506860734,False,-0.08483157305404658,0.3646274167204149,-0.13989792183318414
